datetime,image,read_time,predict_time,objects,temperature
2022-05-08 16:02:46.150045,0001d48938a45d49.jpg,0.107,0.717,0,56.382
2022-05-08 16:02:47.056240,00017614428567ff.jpg,0.129,0.771,1,56.92
2022-05-08 16:02:47.885022,000256419f7c57d8.jpg,0.129,0.694,2,57.458
2022-05-08 16:02:48.712501,0000fcb8ed0ea243.jpg,0.134,0.688,4,57.458
2022-05-08 16:02:49.508806,0000608cc97a2b17.jpg,0.104,0.687,4,57.996
2022-05-08 16:02:50.333092,0001143bfa4f6ae7.jpg,0.133,0.687,1,58.534
2022-05-08 16:02:51.188793,00003223e04e2e66.jpg,0.162,0.688,1,58.534
2022-05-08 16:02:52.008038,0002337b77943386.jpg,0.126,0.688,1,59.072
2022-05-08 16:02:52.805657,000265efe8492bd9.jpg,0.103,0.69,1,59.072
2022-05-08 16:02:53.613652,0002ab17a812c0d6.jpg,0.116,0.687,1,59.072
2022-05-08 16:02:54.419370,0000f53faa4d14c3.jpg,0.115,0.686,1,59.61
2022-05-08 16:02:55.279542,00026912315fd226.jpg,0.143,0.712,0,59.61
2022-05-08 16:02:56.072879,000067f3419a12fe.jpg,0.1,0.688,4,60.148
2022-05-08 16:02:56.878403,0001c626b9afb50c.jpg,0.112,0.688,1,60.686
2022-05-08 16:02:57.698815,00019ee392d03976.jpg,0.128,0.687,0,60.686
2022-05-08 16:02:58.534182,0000b4b26ef88376.jpg,0.142,0.687,7,60.148
2022-05-08 16:02:59.393009,00005e7429a94ad4.jpg,0.163,0.691,1,60.686
2022-05-08 16:03:00.188175,00006b13c052138f.jpg,0.102,0.688,1,60.686
2022-05-08 16:03:01.008126,00003e2837c7b728.jpg,0.127,0.687,4,60.686
2022-05-08 16:03:01.891692,0000c4f95a9d5a54.jpg,0.19,0.688,3,60.686
2022-05-08 16:03:02.713924,000266c1e4c17092.jpg,0.13,0.687,1,61.224
2022-05-08 16:03:03.511622,000284a717e801dd.jpg,0.104,0.688,1,61.224
2022-05-08 16:03:04.318790,000156c75d1ef7b2.jpg,0.114,0.687,6,60.686
2022-05-08 16:03:05.149038,00001bcc92282a38.jpg,0.138,0.687,2,61.224
2022-05-08 16:03:05.991948,000191087c2c9533.jpg,0.15,0.688,1,61.762
2022-05-08 16:03:06.830643,0000eb5027281f2a.jpg,0.148,0.686,2,61.224
2022-05-08 16:03:07.722108,0000ce19115ae401.jpg,0.198,0.688,1,61.224
2022-05-08 16:03:08.539930,00009cadede2ed69.jpg,0.125,0.688,2,61.224
2022-05-08 16:03:09.408649,000140f27cb00816.jpg,0.177,0.687,2,61.224
2022-05-08 16:03:10.242077,0002a1b8cc4b8f92.jpg,0.117,0.712,1,61.224
2022-05-08 16:03:11.083883,0000432bf1241812.jpg,0.149,0.688,0,61.762
2022-05-08 16:03:11.964400,00019bc020b24b32.jpg,0.188,0.687,2,61.224
2022-05-08 16:03:12.795437,0001c43f78cd23e1.jpg,0.139,0.687,1,61.762
2022-05-08 16:03:13.592510,00025431f1dca713.jpg,0.105,0.687,1,62.3
2022-05-08 16:03:14.482608,0001fa6ab562fd2a.jpg,0.196,0.688,4,62.3
2022-05-08 16:03:15.374597,00018571f3c267da.jpg,0.199,0.687,5,61.762
2022-05-08 16:03:16.197943,00010d873e81c61e.jpg,0.131,0.687,1,62.3
2022-05-08 16:03:17.049627,000101475b6bc944.jpg,0.16,0.687,2,62.3
2022-05-08 16:03:17.868076,00004b19ca2c952f.jpg,0.126,0.687,5,62.3
2022-05-08 16:03:18.721590,000037c2dd414b46.jpg,0.16,0.688,0,62.838
2022-05-08 16:03:19.594520,00006bdb1eb5cd74.jpg,0.179,0.689,1,62.3
2022-05-08 16:03:20.433943,0001b46b0b82ee29.jpg,0.147,0.688,2,62.3
2022-05-08 16:03:21.300781,00010f041a2a6fa5.jpg,0.174,0.688,1,62.3
2022-05-08 16:03:22.132221,00011aec5d7324f4.jpg,0.14,0.687,1,62.3
2022-05-08 16:03:22.970365,000132a014faadaf.jpg,0.142,0.69,4,62.3
2022-05-08 16:03:23.772573,0000a90019e380dc.jpg,0.108,0.689,2,62.838
2022-05-08 16:03:24.592533,0001e595b536c9ec.jpg,0.126,0.688,1,62.3
2022-05-08 16:03:25.450922,000134de87dd044b.jpg,0.145,0.707,6,62.3
2022-05-08 16:03:26.277770,0000bcb094764718.jpg,0.134,0.686,5,62.3
2022-05-08 16:03:27.130694,00008044f1bbfde7.jpg,0.161,0.687,2,62.838
