datetime,image,read_time,predict_time,objects,temperature
2022-05-08 16:22:46.537134,0001d48938a45d49.jpg,0.106,2.582,10,57.996
2022-05-08 16:22:49.876737,00017614428567ff.jpg,0.108,2.357,0,59.072
2022-05-08 16:22:53.174183,000256419f7c57d8.jpg,0.114,2.297,91,59.61
2022-05-08 16:22:56.499212,0000fcb8ed0ea243.jpg,0.127,2.322,16,60.686
2022-05-08 16:22:59.782055,0000608cc97a2b17.jpg,0.103,2.298,57,60.686
2022-05-08 16:23:03.106227,0001143bfa4f6ae7.jpg,0.133,2.321,0,62.3
2022-05-08 16:23:06.447918,00003223e04e2e66.jpg,0.162,2.303,12,61.224
2022-05-08 16:23:09.744605,0002337b77943386.jpg,0.126,2.298,3,62.3
2022-05-08 16:23:13.039005,000265efe8492bd9.jpg,0.103,2.321,0,62.3
2022-05-08 16:23:16.328327,0002ab17a812c0d6.jpg,0.116,2.303,0,62.3
2022-05-08 16:23:19.614476,0000f53faa4d14c3.jpg,0.114,2.299,0,62.3
2022-05-08 16:23:22.912479,00026912315fd226.jpg,0.129,2.299,0,62.3
2022-05-08 16:23:26.220923,000067f3419a12fe.jpg,0.096,2.334,51,62.3
2022-05-08 16:23:29.500998,0001c626b9afb50c.jpg,0.107,2.299,8,62.838
2022-05-08 16:23:32.798208,00019ee392d03976.jpg,0.124,2.3,2,62.3
2022-05-08 16:23:36.114955,0000b4b26ef88376.jpg,0.136,2.299,41,62.3
2022-05-08 16:23:39.445984,00005e7429a94ad4.jpg,0.156,2.299,3,62.3
2022-05-08 16:23:42.738930,00006b13c052138f.jpg,0.097,2.32,23,62.3
2022-05-08 16:23:46.037750,00003e2837c7b728.jpg,0.121,2.3,14,61.762
2022-05-08 16:23:49.398672,0000c4f95a9d5a54.jpg,0.181,2.303,25,61.762
2022-05-08 16:23:52.705715,000266c1e4c17092.jpg,0.125,2.298,20,61.762
2022-05-08 16:23:56.004869,000284a717e801dd.jpg,0.099,2.314,21,61.224
2022-05-08 16:23:59.296782,000156c75d1ef7b2.jpg,0.108,2.301,24,61.762
2022-05-08 16:24:02.632324,00001bcc92282a38.jpg,0.133,2.32,2,62.3
2022-05-08 16:24:05.962672,000191087c2c9533.jpg,0.144,2.301,0,62.3
2022-05-08 16:24:09.285141,0000eb5027281f2a.jpg,0.141,2.305,8,62.3
2022-05-08 16:24:12.691188,0000ce19115ae401.jpg,0.188,2.332,83,62.3
2022-05-08 16:24:15.985109,00009cadede2ed69.jpg,0.119,2.301,12,62.3
2022-05-08 16:24:19.347268,000140f27cb00816.jpg,0.169,2.312,38,61.224
2022-05-08 16:24:22.635073,0002a1b8cc4b8f92.jpg,0.111,2.303,7,62.3
2022-05-08 16:24:25.968495,0000432bf1241812.jpg,0.142,2.317,5,61.762
2022-05-08 16:24:29.326406,00019bc020b24b32.jpg,0.18,2.301,31,61.762
2022-05-08 16:24:32.636227,0001c43f78cd23e1.jpg,0.132,2.299,41,62.3
2022-05-08 16:24:35.915987,00025431f1dca713.jpg,0.101,2.303,0,62.3
2022-05-08 16:24:39.292091,0001fa6ab562fd2a.jpg,0.188,2.305,63,62.3
2022-05-08 16:24:42.699834,00018571f3c267da.jpg,0.191,2.333,32,62.3
2022-05-08 16:24:46.007038,00010d873e81c61e.jpg,0.126,2.309,2,62.3
2022-05-08 16:24:49.330283,000101475b6bc944.jpg,0.153,2.3,2,62.3
2022-05-08 16:24:52.634816,00004b19ca2c952f.jpg,0.121,2.301,54,62.3
2022-05-08 16:24:55.990227,000037c2dd414b46.jpg,0.152,2.314,106,62.3
2022-05-08 16:24:59.345585,00006bdb1eb5cd74.jpg,0.17,2.302,34,62.3
2022-05-08 16:25:02.682121,0001b46b0b82ee29.jpg,0.14,2.322,31,62.3
2022-05-08 16:25:06.027553,00010f041a2a6fa5.jpg,0.168,2.302,1,62.3
2022-05-08 16:25:09.340447,00011aec5d7324f4.jpg,0.133,2.3,21,62.838
2022-05-08 16:25:12.684744,000132a014faadaf.jpg,0.137,2.322,88,62.838
2022-05-08 16:25:15.962251,0000a90019e380dc.jpg,0.104,2.301,11,62.3
2022-05-08 16:25:19.255021,0001e595b536c9ec.jpg,0.12,2.3,9,63.376
2022-05-08 16:25:22.580826,000134de87dd044b.jpg,0.138,2.303,52,63.376
2022-05-08 16:25:25.887737,0000bcb094764718.jpg,0.128,2.304,11,63.376
2022-05-08 16:25:29.222032,00008044f1bbfde7.jpg,0.154,2.3,57,63.376
