datetime,image,read_time,predict_time,objects,temperature
2022-04-24 22:30:35.983784,0000b4b26ef88376.jpg,0.157,4.554,8,52.996
2022-04-24 22:30:40.704982,000256419f7c57d8.jpg,0.087,4.005,4,55.148
2022-04-24 22:30:45.584946,00011aec5d7324f4.jpg,0.101,4.157,0,56.224
2022-04-24 22:30:50.608615,0000eb5027281f2a.jpg,0.107,4.289,0,57.3
2022-04-24 22:30:55.418230,000140f27cb00816.jpg,0.127,4.055,7,56.762
2022-04-24 22:31:00.116158,000156c75d1ef7b2.jpg,0.076,3.993,2,57.838
2022-04-24 22:31:04.929477,000037c2dd414b46.jpg,0.117,4.067,2,58.376
2022-04-24 22:31:09.684248,00004b19ca2c952f.jpg,0.084,4.043,2,58.914
2022-04-24 22:31:14.465359,00006bdb1eb5cd74.jpg,0.13,4.023,2,58.376
2022-04-24 22:31:19.210312,0002ab17a812c0d6.jpg,0.079,4.039,0,59.452
2022-04-24 22:31:24.054244,0000c4f95a9d5a54.jpg,0.121,4.096,7,59.452
2022-04-24 22:31:28.756547,00006b13c052138f.jpg,0.076,3.999,3,59.452
2022-04-24 22:31:33.495808,00003223e04e2e66.jpg,0.121,3.992,2,59.99
2022-04-24 22:31:38.260849,0001c43f78cd23e1.jpg,0.101,4.038,4,59.99
2022-04-24 22:31:43.020345,0000fcb8ed0ea243.jpg,0.098,4.033,2,59.99
2022-04-24 22:31:47.744876,00001bcc92282a38.jpg,0.092,4.004,0,60.528
2022-04-24 22:31:52.527717,0000608cc97a2b17.jpg,0.074,4.081,3,60.528
2022-04-24 22:31:57.325458,00003e2837c7b728.jpg,0.083,4.087,2,60.528
2022-04-24 22:32:02.074550,000265efe8492bd9.jpg,0.074,4.049,0,60.528
2022-04-24 22:32:06.801221,000132a014faadaf.jpg,0.107,3.991,9,61.066
2022-04-24 22:32:11.635974,000191087c2c9533.jpg,0.108,4.099,0,61.604
2022-04-24 22:32:16.342972,00010d873e81c61e.jpg,0.086,3.995,0,61.604
2022-04-24 22:32:21.080786,0000f53faa4d14c3.jpg,0.09,4.02,0,60.528
2022-04-24 22:32:25.853899,0002a1b8cc4b8f92.jpg,0.081,4.066,1,61.604
2022-04-24 22:32:30.587175,0001143bfa4f6ae7.jpg,0.099,4.007,0,61.604
2022-04-24 22:32:35.359264,0001fa6ab562fd2a.jpg,0.14,4.005,4,61.604
2022-04-24 22:32:40.077335,00009cadede2ed69.jpg,0.092,4.0,2,61.604
2022-04-24 22:32:44.860399,00008044f1bbfde7.jpg,0.125,4.032,3,62.142
2022-04-24 22:32:49.634049,0001d48938a45d49.jpg,0.069,4.076,3,61.604
2022-04-24 22:32:54.378070,000284a717e801dd.jpg,0.08,4.035,3,61.604
2022-04-24 22:32:59.106746,0000a90019e380dc.jpg,0.08,4.021,0,62.68
2022-04-24 22:33:03.914761,00026912315fd226.jpg,0.095,4.102,0,61.604
2022-04-24 22:33:08.783798,0000432bf1241812.jpg,0.114,4.142,1,61.604
2022-04-24 22:33:13.606050,0000bcb094764718.jpg,0.108,4.085,6,62.142
2022-04-24 22:33:18.443148,00010f041a2a6fa5.jpg,0.124,4.084,0,62.68
2022-04-24 22:33:23.246567,0002337b77943386.jpg,0.084,4.092,0,62.68
2022-04-24 22:33:28.023439,0001b46b0b82ee29.jpg,0.11,4.041,1,62.68
2022-04-24 22:33:32.800171,0000ce19115ae401.jpg,0.147,4.0,4,62.68
2022-04-24 22:33:37.635373,000101475b6bc944.jpg,0.113,4.094,0,62.68
2022-04-24 22:33:42.460626,00019bc020b24b32.jpg,0.136,4.061,0,62.68
2022-04-24 22:33:47.304059,00005e7429a94ad4.jpg,0.108,4.107,2,62.68
2022-04-24 22:33:52.096440,0001c626b9afb50c.jpg,0.08,4.085,0,62.68
2022-04-24 22:33:56.857930,0001e595b536c9ec.jpg,0.09,4.043,0,62.68
2022-04-24 22:34:01.655667,000067f3419a12fe.jpg,0.072,4.098,5,63.218
2022-04-24 22:34:06.376583,00025431f1dca713.jpg,0.076,4.019,0,62.68
2022-04-24 22:34:11.152161,00017614428567ff.jpg,0.08,4.07,0,63.756
2022-04-24 22:34:15.883200,00019ee392d03976.jpg,0.085,4.018,0,63.756
2022-04-24 22:34:20.624638,000266c1e4c17092.jpg,0.084,4.029,0,62.68
2022-04-24 22:34:25.395155,00018571f3c267da.jpg,0.143,4.001,2,63.218
2022-04-24 22:34:30.166707,000134de87dd044b.jpg,0.107,4.038,3,63.756
