datetime,image,read_time,predict_time,objects,temperature
2022-05-02 13:43:33.008038,0000b4b26ef88376.jpg,0.132,14.461,60,51.92
2022-05-02 13:43:48.485059,000256419f7c57d8.jpg,0.087,14.294,91,54.072
2022-05-02 13:44:03.626561,00011aec5d7324f4.jpg,0.096,13.955,49,55.686
2022-05-02 13:44:18.693129,0000eb5027281f2a.jpg,0.106,13.887,4,56.762
2022-05-02 13:44:33.757918,000140f27cb00816.jpg,0.118,13.857,107,57.3
2022-05-02 13:44:48.788160,000156c75d1ef7b2.jpg,0.075,13.875,51,57.838
2022-05-02 13:45:03.875217,000037c2dd414b46.jpg,0.116,13.868,196,58.376
2022-05-02 13:45:19.253337,00004b19ca2c952f.jpg,0.077,14.217,64,59.452
2022-05-02 13:45:34.595594,00006bdb1eb5cd74.jpg,0.127,14.136,47,59.99
2022-05-02 13:45:50.019251,0002ab17a812c0d6.jpg,0.072,14.292,0,59.99
2022-05-02 13:46:05.123150,0000c4f95a9d5a54.jpg,0.119,13.919,52,60.528
2022-05-02 13:46:20.209084,00006b13c052138f.jpg,0.068,13.951,54,60.528
2022-05-02 13:46:35.320228,00003223e04e2e66.jpg,0.119,13.933,15,61.604
2022-05-02 13:46:50.405340,0001c43f78cd23e1.jpg,0.093,13.925,63,61.604
2022-05-02 13:47:05.547404,0000fcb8ed0ea243.jpg,0.096,13.988,15,61.604
2022-05-02 13:47:20.403516,00001bcc92282a38.jpg,0.084,13.715,2,61.604
2022-05-02 13:47:35.396137,0000608cc97a2b17.jpg,0.072,13.854,62,62.68
2022-05-02 13:47:50.483085,00003e2837c7b728.jpg,0.076,13.951,17,61.604
2022-05-02 13:48:05.535797,000265efe8492bd9.jpg,0.074,13.921,0,61.604
2022-05-02 13:48:20.663072,000132a014faadaf.jpg,0.107,13.945,119,62.142
2022-05-02 13:48:35.722636,000191087c2c9533.jpg,0.106,13.895,2,61.604
2022-05-02 13:48:50.715153,00010d873e81c61e.jpg,0.078,13.858,6,61.604
2022-05-02 13:49:05.755938,0000f53faa4d14c3.jpg,0.087,13.897,1,61.604
2022-05-02 13:49:20.787851,0002a1b8cc4b8f92.jpg,0.073,13.899,21,61.604
2022-05-02 13:49:35.826493,0001143bfa4f6ae7.jpg,0.097,13.886,1,61.604
2022-05-02 13:49:50.910190,0001fa6ab562fd2a.jpg,0.139,13.876,79,62.68
2022-05-02 13:50:05.983892,00009cadede2ed69.jpg,0.092,13.919,26,61.604
2022-05-02 13:50:21.079896,00008044f1bbfde7.jpg,0.123,13.9,102,62.68
2022-05-02 13:50:36.037003,0001d48938a45d49.jpg,0.062,13.837,10,62.142
2022-05-02 13:50:51.037937,000284a717e801dd.jpg,0.078,13.857,52,61.604
2022-05-02 13:51:06.057278,0000a90019e380dc.jpg,0.079,13.875,39,61.604
2022-05-02 13:51:21.143697,00026912315fd226.jpg,0.094,13.935,0,62.142
2022-05-02 13:51:36.237680,0000432bf1241812.jpg,0.102,13.933,9,63.218
2022-05-02 13:51:51.314210,0000bcb094764718.jpg,0.106,13.909,31,63.218
2022-05-02 13:52:06.509143,00010f041a2a6fa5.jpg,0.116,14.02,0,63.756
2022-05-02 13:52:21.568512,0002337b77943386.jpg,0.083,13.91,0,63.756
2022-05-02 13:52:36.454842,0001b46b0b82ee29.jpg,0.102,13.712,49,64.294
2022-05-02 13:52:51.363480,0000ce19115ae401.jpg,0.148,13.685,75,64.294
2022-05-02 13:53:06.370797,000101475b6bc944.jpg,0.115,13.826,8,63.756
2022-05-02 13:53:21.436878,00019bc020b24b32.jpg,0.131,13.866,29,64.294
2022-05-02 13:53:36.502696,00005e7429a94ad4.jpg,0.107,13.89,11,64.832
2022-05-02 13:53:51.505994,0001c626b9afb50c.jpg,0.072,13.866,7,64.832
2022-05-02 13:54:06.505649,0001e595b536c9ec.jpg,0.09,13.841,25,64.832
2022-05-02 13:54:21.412762,000067f3419a12fe.jpg,0.065,13.77,47,64.832
2022-05-02 13:54:36.339011,00025431f1dca713.jpg,0.076,13.785,2,65.908
2022-05-02 13:54:51.289719,00017614428567ff.jpg,0.081,13.806,2,65.37
2022-05-02 13:55:06.347286,00019ee392d03976.jpg,0.086,13.906,0,65.908
2022-05-02 13:55:21.331695,000266c1e4c17092.jpg,0.079,13.839,18,65.908
2022-05-02 13:55:36.429856,00018571f3c267da.jpg,0.144,13.88,55,65.37
2022-05-02 13:55:51.346101,000134de87dd044b.jpg,0.101,13.741,61,65.37
